country,country_name,type,level,year,amount
LU,Luxembourg,Energy absorbed by pumping,Total,2018,1717.5
LU,Luxembourg,Energy supplied,Total,2016,6523.878
LU,Luxembourg,Energy supplied,Total,2017,6549.101000000001
LU,Luxembourg,Energy supplied,Total,2018,6608.700000000001
LU,Luxembourg,Exports,Total,2016,1419.691
LU,Luxembourg,Exports,Total,2017,1388.648
LU,Luxembourg,Exports,Total,2018,1391.674
LU,Luxembourg,Imports,Total,2016,7718.393
LU,Luxembourg,Imports,Total,2017,7566.69
LU,Luxembourg,Imports,Total,2018,7553.012000000001
LU,Luxembourg,Total net production,Total,2016,2167.69
LU,Luxembourg,Total net production,Total,2017,2204.738
LU,Luxembourg,Total net production,Total,2018,2164.862
LV,Latvia,Energy absorbed by pumping,Total,2016,0.0
LV,Latvia,Energy absorbed by pumping,Total,2017,0.0
LV,Latvia,Energy absorbed by pumping,Total,2018,0.0
LV,Latvia,Energy supplied,Total,2016,6960.0
LV,Latvia,Energy supplied,Total,2017,6960.693999999999
LV,Latvia,Energy supplied,Total,2018,7408.0
LV,Latvia,Exports,Total,2016,3795.0
LV,Latvia,Exports,Total,2017,4137.077
LV,Latvia,Exports,Total,2018,4264.0
LV,Latvia,Imports,Total,2016,4828.0
LV,Latvia,Imports,Total,2017,4072.912
LV,Latvia,Imports,Total,2018,5172.0
LV,Latvia,Total net production,Total,2016,5927.0
LV,Latvia,Total net production,Total,2017,7024.859
LV,Latvia,Total net production,Total,2018,6500.0
ME,Montenegro,Energy absorbed by pumping,Total,2016,0.0
ME,Montenegro,Energy absorbed by pumping,Total,2017,0.0
ME,Montenegro,Energy absorbed by pumping,Total,2018,0.0
ME,Montenegro,Energy supplied,Total,2016,3327.0
ME,Montenegro,Energy supplied,Total,2017,3484.0000000000005
ME,Montenegro,Energy supplied,Total,2018,9981.0
ME,Montenegro,Exports,Total,2016,906.0
ME,Montenegro,Exports,Total,2017,416.7
ME,Montenegro,Exports,Total,2018,868.0
ME,Montenegro,Imports,Total,2016,1210.0
ME,Montenegro,Imports,Total,2017,1536.9
ME,Montenegro,Imports,Total,2018,7106.0
ME,Montenegro,Total net production,Total,2016,3023.0
ME,Montenegro,Total net production,Total,2017,2363.8
ME,Montenegro,Total net production,Total,2018,3743.0
MK,North Macedonia,Energy absorbed by pumping,Total,2016,0.0
MK,North Macedonia,Energy absorbed by pumping,Total,2017,0.0
MK,North Macedonia,Energy absorbed by pumping,Total,2018,0.0
MK,North Macedonia,Energy supplied,Total,2016,7315.006
MK,North Macedonia,Energy supplied,Total,2017,7209.41
MK,North Macedonia,Energy supplied,Total,2018,7123.500000000002
MK,North Macedonia,Exports,Total,2016,159.853
MK,North Macedonia,Exports,Total,2017,311.026
MK,North Macedonia,Exports,Total,2018,5341.489
MK,North Macedonia,Imports,Total,2016,2190.606
MK,North Macedonia,Imports,Total,2017,2293.571
MK,North Macedonia,Imports,Total,2018,7261.253000000001
MK,North Macedonia,Total net production,Total,2016,5284.253
MK,North Macedonia,Total net production,Total,2017,5226.865
MK,North Macedonia,Total net production,Total,2018,5203.736000000001
MT,Malta,Energy absorbed by pumping,Total,2016,0.0
MT,Malta,Energy absorbed by pumping,Total,2017,0.0
MT,Malta,Energy absorbed by pumping,Total,2018,0.0
MT,Malta,Energy supplied,Total,2016,2332.16
MT,Malta,Energy supplied,Total,2017,2455.826
MT,Malta,Energy supplied,Total,2018,2509.14
MT,Malta,Exports,Total,2016,
MT,Malta,Exports,Total,2017,35.699
MT,Malta,Exports,Total,2018,10.550999999999998
MT,Malta,Imports,Total,2016,1525.0
MT,Malta,Imports,Total,2017,897.066
MT,Malta,Imports,Total,2018,631.2929999999999
MT,Malta,Total net production,Total,2016,807.16
MT,Malta,Total net production,Total,2017,1594.4589999999998
MT,Malta,Total net production,Total,2018,1888.398
NL,Netherlands,Energy absorbed by pumping,Total,2016,0.0
NL,Netherlands,Energy absorbed by pumping,Total,2017,0.0
NL,Netherlands,Energy absorbed by pumping,Total,2018,0.0
NL,Netherlands,Energy supplied,Total,2016,115946.625
NL,Netherlands,Energy supplied,Total,2017,116971.24599999998
NL,Netherlands,Energy supplied,Total,2018,118412.37099999998
NL,Netherlands,Exports,Total,2016,19343.254
NL,Netherlands,Exports,Total,2017,18951.503
NL,Netherlands,Exports,Total,2018,18157.0
NL,Netherlands,Imports,Total,2016,24257.626
NL,Netherlands,Imports,Total,2017,22457.715
NL,Netherlands,Imports,Total,2018,24018.0
NL,Netherlands,Total net production,Total,2016,111032.253
NL,Netherlands,Total net production,Total,2017,113465.034
NL,Netherlands,Total net production,Total,2018,112551.371
NO,Norway,Energy absorbed by pumping,Total,2016,1427.0
NO,Norway,Energy absorbed by pumping,Total,2017,1653.0
NO,Norway,Energy absorbed by pumping,Total,2018,1021.492
NO,Norway,Energy supplied,Total,2016,131229.0
NO,Norway,Energy supplied,Total,2017,131824.0
NO,Norway,Energy supplied,Total,2018,135674.50799999997
NO,Norway,Exports,Total,2016,22151.0
NO,Norway,Exports,Total,2017,21276.0
NO,Norway,Exports,Total,2018,18488.911
NO,Norway,Imports,Total,2016,5740.0
NO,Norway,Imports,Total,2017,6111.0
NO,Norway,Imports,Total,2018,8339.724
NO,Norway,Total net production,Total,2016,149067.0
NO,Norway,Total net production,Total,2017,148642.0
NO,Norway,Total net production,Total,2018,146845.18699999998
PL,Poland,Energy absorbed by pumping,Total,2016,744.0
PL,Poland,Energy absorbed by pumping,Total,2017,734.88
PL,Poland,Energy absorbed by pumping,Total,2018,660.599
PL,Poland,Energy supplied,Total,2016,153258.0
PL,Poland,Energy supplied,Total,2017,156421.464
PL,Poland,Energy supplied,Total,2018,159130.40299999996
PL,Poland,Exports,Total,2016,12018.0
PL,Poland,Exports,Total,2017,10984.0
