country,country_name,type,year,value,ratio
BE,Belgium,Conventional thermal,2017,31316.0,0.37262454234029063
BE,Belgium,Nuclear,2017,40128.5,0.4774832017914916
BE,Belgium,Hydro,2017,1360.9,0.016193151733008733
BE,Belgium,Pumped hydro power,2017,1093.2,0.01300782825668686
BE,Belgium,Wind,2017,6387.900000000001,0.07600869568321442
BE,Belgium,Solar,2017,3264.3,0.038841432288970835
BE,Belgium,Geothermal,2017,0.0,0.0
BE,Belgium,Other,2017,490.9,0.005841147906336973
BG,Bulgaria,Conventional thermal,2017,20234.209,0.48228342947122227
BG,Bulgaria,Nuclear,2017,14718.368,0.35081307083758473
BG,Bulgaria,Hydro,2017,3458.015,0.08242196832912661
BG,Bulgaria,Pumped hydro power,2017,603.713,0.01438953092045061
BG,Bulgaria,Wind,2017,1504.063,0.035849420245722234
BG,Bulgaria,Solar,2017,1402.766,0.0334350009543555
BG,Bulgaria,Geothermal,2017,0.0,0.0
BG,Bulgaria,Other,2017,33.882,0.0008075792415381274
CZ,Czechia,Conventional thermal,2017,47246.628,0.5829947506491076
CZ,Czechia,Nuclear,2017,26785.6,0.3305180677229862
CZ,Czechia,Hydro,2017,3007.403,0.037109530061835906
CZ,Czechia,Pumped hydro power,2017,1155.492,0.014258070870518816
CZ,Czechia,Wind,2017,581.917,0.007180503046978861
CZ,Czechia,Solar,2017,2168.74,0.02676093700322371
CZ,Czechia,Geothermal,2017,0.0,0.0
CZ,Czechia,Other,2017,95.478,0.0011781406453488172
DK,Denmark,Conventional thermal,2017,14104.326,0.47563489754830446
DK,Denmark,Nuclear,2017,0.0,0.0
DK,Denmark,Hydro,2017,17.871,0.000602657032607283
DK,Denmark,Pumped hydro power,2017,0.0,0.0
DK,Denmark,Wind,2017,14780.0,0.49842039851914516
DK,Denmark,Solar,2017,751.485,0.025342046899943155
DK,Denmark,Geothermal,2017,0.0,0.0
DK,Denmark,Other,2017,0.0,0.0
DE,Germany,Conventional thermal,2017,376128.0,0.6018346509986895
DE,Germany,Nuclear,2017,72155.0,0.11545372650483464
DE,Germany,Hydro,2017,25888.0,0.04142285457358685
DE,Germany,Pumped hydro power,2017,5910.0,0.009456469040864427
DE,Germany,Wind,2017,103707.0,0.16593943059575755
DE,Germany,Solar,2017,39401.0,0.06304472701846012
DE,Germany,Geothermal,2017,157.0,0.00025121246013802285
DE,Germany,Other,2017,1623.0,0.0025969288076688603
EE,Estonia,Conventional thermal,2017,10485.0,0.9333273989674203
EE,Estonia,Nuclear,2017,0.0,0.0
EE,Estonia,Hydro,2017,26.0,0.0023144027060708564
EE,Estonia,Pumped hydro power,2017,0.0,0.0
EE,Estonia,Wind,2017,723.0,0.06435819832650881
EE,Estonia,Solar,2017,0.0,0.0
EE,Estonia,Geothermal,2017,0.0,0.0
