country,country_name,year,Conventional thermal,Nuclear,Hydro,Pumped hydro power,Wind,Solar,Geothermal,Other,total,renewable,renewable rate,major generation,Total net production,Imports,Exports,Energy absorbed by pumping,Energy supplied,sum,import rate,export rate,dependence
UK,NA,2017,189296.528,63886.86,8723.43,2862.01,50003.654,11524.87,0,0,326297.352,73113.964,22.40715824,Conventional thermal,323439.536,18166.98,3407.049,3859.19,334340.277,341606.516,5.318101134,0.997360659,4.320740474
UK,NA,2018,180837.905,59097.753,7678.659,2515.998,56903.961,12857.349,0,0,319891.625,79955.967,24.99470469,Conventional thermal,317375.629,21332.415,2224.764,3390.866,333092.414,338708.044,6.298171944,0.656838253,5.641333691
NO,Norway,2016,3212,0,143442,999,2116,0,0,297,150066,146557,97.66169552,renewable,149067,5740,22151,1427,131229,154807,3.707842669,14.30878449,-10.60094182
NO,Norway,2017,3233,0,142276,1157,2852,0,0,281,149799,146285,97.65418995,renewable,148642,6111,21276,1653,131824,154753,3.948873366,13.74836029,-9.799486924
NO,Norway,2018,3457.28,0,139512.026,3490.918,3875.881,0,0,0,150336.105,146878.825,97.70029961,renewable,146845.187,8339.724,18488.911,1021.492,135674.508,155184.911,5.374055987,11.91411644,-6.540060457
ME,Montenegro,2016,1216,0,1807,0,0,0,0,0,3023,1807,59.77505789,renewable,3023,1210,906,0,3327,4233,28.58492795,21.4032601,7.181667848
ME,Montenegro,2017,1265,0,1003.8,0,95,0,0,0,2363.8,1098.8,46.48447415,Conventional thermal,2363.8,1536.9,416.7,0,3484,3900.7,39.4006204,10.68269798,28.71792242
ME,Montenegro,2018,1444,0,2137,0,162,0,0,0,3743,2299,61.4213198,renewable,3743,7106,868,0,9981,10849,65.49912434,8.000737395,57.49838695
MK,North Macedonia,2016,3281.378,0,1869.694,0,109.482,23.699,0,0,5284.253,2002.875,37.90270829,Conventional thermal,5284.253,2190.606,159.853,0,7315.006,7474.859,29.30631869,2.138542011,27.16777668
MK,North Macedonia,2017,4005.609,0,1087.024,0,110.48,23.752,0,0,5226.865,1221.256,23.36498073,Conventional thermal,5226.865,2293.571,311.026,0,7209.41,7520.436,30.49784614,4.135744257,26.36210188
MK,North Macedonia,2018,3309.114,0,1774.496,0,97.338,22.788,0,0,5203.736,1894.622,36.40888008,Conventional thermal,5203.736,7261.253,5341.489,0,7123.5,12464.989,58.25318418,42.85193513,15.40124905
AL,Albania,2016,0,0,7136,0,0,0,0,0,7136,7136,100,renewable,7136,0,42,0,7094,7136,0,0.588565022,-0.588565022
AL,Albania,2017,0,0,4496.607,0,0,1.2,0,0,4497.807,4497.807,100,renewable,4497.807,2914.628,0,0,7412.435,7412.435,39.32079,0,39.32079
AL,Albania,2018,0,0,8596.537,0,0,0,0,0,8596.537,8596.537,100,renewable,8596.537,1771.742,2685.047,0,7683.232,10368.279,17.08810112,25.89674718,-8.808646064
RS,Serbia,2016,25161,0,11429,728,26,12,0,0,37356,12195,32.64535818,Conventional thermal,36628,5068,6990,1029,33677,41696,12.15464313,16.764198,-4.609554873
RS,Serbia,2017,24566.923,0,9670.033,598.732,48.457,13.139,0,0,34897.284,10330.361,29.60219196,Conventional thermal,34298.552,6549.189,5724.139,938.05,34185.552,40847.741,16.03317305,14.01335511,2.019817938
RS,Serbia,2018,23625.089,0,11453.07,1147.848,150.419,12.608,0,0,36389.034,12763.945,35.0763502,Conventional thermal,35241.186,6400.007,6293.513,1067.938,34279.742,41641.193,15.36941317,15.11367121,0.255741952
TR,Turkey,2016,174166,0,66686,0,15381,1013,4010,681,261937,87090,33.24845287,Conventional thermal,261937,6330,1452,0,266815,268267,2.359589513,0.541251813,1.818337701
TR,Turkey,2017,199910.043,0,57823.851,0,17793.167,2817.837,5101.487,811.134,284257.519,83536.342,29.38755755,Conventional thermal,284257.519,2728.268,3303.673,0,283682.114,286985.787,0.950663107,1.151162584,-0.200499476
TR,Turkey,2018,195153.546,0,59865.351,0,19825.697,7459.485,6275.373,703.126,289282.578,93425.906,32.29572505,Conventional thermal,289282.578,2466.008,3073.58,0,288675.006,291748.586,0.845251055,1.053502964,-0.208251909
BA,Bosnia & Herzegovina,2016,10971,0,5614,0,0,24,0,0,16609,5638,33.94545126,Conventional thermal,16609,3084,6841,0,12852,19693,15.66038694,34.73823186,-19.07784492
BA,Bosnia & Herzegovina,2017,11250,0,3968,197,0,21,0,0,15436,4186,27.11842446,Conventional thermal,15239,3346,5187,266,13132,18585,18.00376648,27.90960452,-9.905838041
BA,Bosnia & Herzegovina,2018,4003.505,0,3476.554,0,22.368,0,0,0,7502.427,3498.922,46.63720153,Conventional thermal,7502.427,1487.586,3820.822,50.591,5118.6,8990.013,16.54709509,42.50073943,-25.95364434
UA,Ukraine,2016,65415,75931,9025,1633,949,490,0,79,153522,12097,7.879652428,Nuclear,151889,77,3830,1633,146503,151966,0.050669229,2.520300594,-2.469631365
UA,Ukraine,2017,54041.9,80295.3,8812,1559,974,737.6,0,45,146464.8,12082.6,8.249490663,Nuclear,144905.8,50,5226,1574.2,138155.6,144955.8,0.034493273,3.605236907,-3.570743634
UA,Ukraine,2018,60830.7,84397.9,11920.2,0,1185.9,737.8,0,0,159072.5,13843.9,8.702887048,Nuclear,159072.5,1587,4639.3,0,156020.2,160659.5,0.987803398,2.887659927,-1.899856529
GE,Georgia,2016,2135,0,9221,0,9,0,0,0,11365,9230,81.21425429,renewable,11365,1329,1409,0,11285,12694,10.46951316,11.09973216,-0.630219001
GE,Georgia,2017,2131.3,0,9096.8,0,87.7,0,0,0,11315.8,9184.5,81.16527333,renewable,11315.8,1751.2,939.7,0,12127.3,13067,13.40169894,7.191398179,6.210300758
GE,Georgia,2018,2114.901,0,9949.387,0,84.226,0,0,0,12148.514,10033.613,82.59127824,renewable,12148.514,1522.2,602.038,214.946,12853.73,13670.714,11.13475126,4.403851913,6.730899352
