country,country_name,type,level,2016,2017,2018,2016_ratio,2017_ratio,2018_ratio
AT,Austria,Solar,Level 1,1040.698,1204.311,0.0,0.015362050813959246,0.01687324208602366,0.0
AT,Austria,Geothermal,Level 1,0.02,0.086,0.0,2.9522591210820515e-07,1.204920339844139e-06,0.0
AT,Austria,Other,Level 1,14.692,11.868,6162.686,0.0002168729550346875,0.0001662790068984912,0.07802312671145605
PL,Poland,Conventional thermal,Level 1,136945.0,137068.099,138957.387,0.898135456495078,0.8825023989403077,0.8994071995094333
PL,Poland,Nuclear,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
PL,Poland,Hydro,Level 1,2591.0,2999.86,2353.336,0.016992726771906583,0.019314367572027622,0.01523206061196827
PL,Poland,Pumped hydro power,Level 2,474.0,448.193,402.36,0.0031086655692333927,0.0028856561123551685,0.0026042910607884102
PL,Poland,Wind,Level 1,12279.0,14574.192,12487.345,0.08053017832197643,0.09383481274236277,0.0808248358596303
PL,Poland,Solar,Level 1,124.0,165.463,298.432,0.0008132374062973432,0.0010653207821599696,0.0019316129581797563
PL,Poland,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
PL,Poland,Other,Level 1,64.0,61.73,0.0,0.0004197354355083062,0.00039744385078679175,0.0
PT,Portugal,Conventional thermal,Level 1,28702.0,36882.017,30887.0,0.477983865321726,0.6212344270369076,0.5046483130463197
PT,Portugal,Nuclear,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
PT,Portugal,Hydro,Level 1,16794.113,7489.938,13489.0,0.27967789862691966,0.12615924291700104,0.22039049097295974
PT,Portugal,Pumped hydro power,Level 2,1186.0,1699.948,3120.0,0.01975084887016818,0.028633635242143535,0.05097622743239932
PT,Portugal,Wind,Level 1,12343.336,12112.464,12530.0,0.20555764240278768,0.20402028536143155,0.20472183645127032
PT,Portugal,Solar,Level 1,870.6030000000001,991.546,974.0,0.014498438683739482,0.016701432331933948,0.015913732538191325
PT,Portugal,Geothermal,Level 1,152.0,193.007,205.0,0.002531306094658991,0.0032509771105824394,0.0033493995588595705
PT,Portugal,Other,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
RO,Romania,Conventional thermal,Level 1,23304.0,24923.065,22611.0,0.38352286753451936,0.4173793648166809,0.38505159905997755
RO,Romania,Nuclear,Level 1,10366.0,10557.906,10443.0,0.17059723845103106,0.17681019971156137,0.17783794829876368
RO,Romania,Hydro,Level 1,18239.0,14687.531,17653.0,0.3001662195744121,0.2459678357980975,0.30061986989543954
RO,Romania,Pumped hydro power,Level 2,507.0,357.788,0.0,0.008343893487813307,0.005991772206950897,0.0
RO,Romania,Wind,Level 1,6527.0,7331.254,6261.0,0.10741734279084311,0.12277439142536246,0.10662102789414529
RO,Romania,Solar,Level 1,1820.0,1855.674,1754.0,0.029952438161381104,0.031076436041346824,0.029869554851673988
RO,Romania,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
RO,Romania,Other,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
SI,Slovenia,Conventional thermal,Level 1,5121.0,5054.639999999999,4703.068,0.32362234580384225,0.3226014390516846,0.3039694553570465
SI,Slovenia,Nuclear,Level 1,5431.0,5967.827,5489.905999999999,0.3432128412537917,0.3808836194489614,0.3548244968563885
SI,Slovenia,Hydro,Level 1,4721.0,4085.015,4831.147,0.2983442871587462,0.2607172256674496,0.3122474781014923
SI,Slovenia,Pumped hydro power,Level 2,278.0,271.498,187.919,0.017568250758341758,0.017327771216081516,0.012145611350131622
SI,Slovenia,Wind,Level 1,6.0,5.716,6.02,0.00037917087967644087,0.0003648113071592496,0.00038908561841959755
SI,Slovenia,Solar,Level 1,267.0,283.678,254.113,0.016873104145601617,0.01810513330866368,0.016423872716521463
SI,Slovenia,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
SI,Slovenia,Other,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
SK,Slovakia,Conventional thermal,Level 1,6065.0,6417.0,5426.0,0.24025511012517825,0.2468931553229964,0.22598917117867556
SK,Slovakia,Nuclear,Level 1,13732.0,14016.0,13807.0,0.5439708445571225,0.5392635912431226,0.5750520616409829
SK,Slovakia,Hydro,Level 1,4549.0,4620.0,3838.0,0.18020123593725243,0.17775383786695395,0.15985006247396918
SK,Slovakia,Pumped hydro power,Level 2,247.0,299.0,293.0,0.009784503248296625,0.0115039821476665,0.012203248646397335
SK,Slovakia,Wind,Level 1,6.0,6.0,5.0,0.00023768024084931072,0.00023084914008695317,0.00020824656393169514
SK,Slovakia,Solar,Level 1,533.0,506.0,586.0,0.02111392806211377,0.019468277480666384,0.02440649729279467
SK,Slovakia,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
SK,Slovakia,Other,Level 1,112.0,127.0,55.0,0.004436697829187134,0.004886306798507175,0.0022907122032486465
FI,Finland,Conventional thermal,Level 1,24950.0,23681.0,26425.0,0.3768882175226586,0.364110212491159,0.3919246524596094
FI,Finland,Nuclear,Level 1,22280.0,21574.0,21890.0,0.3365558912386707,0.3317137673360189,0.3246634112522554
FI,Finland,Hydro,Level 1,15634.0,14610.0,13158.674,0.23616314199395771,0.22463790399458777,0.19516400129722983
FI,Finland,Pumped hydro power,Level 2,0.0,0.0,0.0,0.0,0.0,0.0
FI,Finland,Wind,Level 1,3068.0,4795.0,5861.0,0.04634441087613293,0.0737261293397706,0.08692792386247003
FI,Finland,Solar,Level 1,19.0,43.0,89.0,0.00028700906344410876,0.0006611519419416341,0.001320011128435392
FI,Finland,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
FI,Finland,Other,Level 1,249.0,335.0,0.0,0.0037613293051359515,0.005150834896522034,0.0
SE,Sweden,Conventional thermal,Level 1,14621.0,15003.0,14869.986,0.09578119882083197,0.09344694209316666,0.09394313956928693
SE,Sweden,Nuclear,Level 1,60524.0,63008.0,65801.155,0.3964886996396987,0.39244850545932447,0.41570766024832045
SE,Sweden,Hydro,Level 1,61764.0,64676.0,60977.60199999999,0.40461185718964954,0.40283772757566133,0.38523421442941697
SE,Sweden,Pumped hydro power,Level 2,119.0,25.0,0.0,0.0007795610874549623,0.0001557137607364638,0.0
SE,Sweden,Wind,Level 1,15479.0,17609.0,16638.345,0.10140189977071733,0.10967854451233565,0.10511498575297565
SE,Sweden,Solar,Level 1,143.0,230.0,0.0,0.0009367834916475597,0.001432566598775467,0.0
SE,Sweden,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
SE,Sweden,Other,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
UK,,Conventional thermal,Level 1,203165.188,189296.528,180837.905,0.6208762599938822,0.5801350419785202,0.5653099076913939
UK,,Nuclear,Level 1,65149.08,63886.86,59097.753,0.19909669333922617,0.19579337560790255,0.18474304539857833
UK,,Hydro,Level 1,8286.51,8723.43,7678.659000000001,0.025323715090411574,0.026734602492269076,0.02400393883397229
UK,,Pumped hydro power,Level 2,2948.89,2862.01,2515.998,0.009011857850043478,0.008771171394611869,0.007865157457623343
UK,,Wind,Level 1,37262.699,50003.654,56903.96100000001,0.11387544007981217,0.15324566287010505,0.17788512281307775
UK,,Solar,Level 1,10410.948,11524.87,12857.348999999998,0.03181603364662448,0.03532014565659117,0.04019282780535439
UK,,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
UK,,Other,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
NO,Norway,Conventional thermal,Level 1,3212.0,3233.0,3457.28,0.02140391561046473,0.02158225355309448,0.022997003946590207
NO,Norway,Nuclear,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
NO,Norway,Hydro,Level 1,143442.0,142276.0,139512.026,0.9558594218543841,0.9497793710238386,0.9280008019364344
NO,Norway,Pumped hydro power,Level 2,999.0,1157.0,3490.918,0.006657070888808924,0.007723683068645318,0.023220755918879232
NO,Norway,Wind,Level 1,2116.0,2852.0,3875.881,0.014100462463182866,0.019038845386150777,0.02578143819809619
NO,Norway,Solar,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
NO,Norway,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
NO,Norway,Other,Level 1,297.0,281.0,0.0,0.00197912918315941,0.0018758469682708162,0.0
ME,Montenegro,Conventional thermal,Level 1,1216.0,1265.0,1444.0,0.4022494211048627,0.535155258482105,0.38578680203045684
ME,Montenegro,Nuclear,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
ME,Montenegro,Hydro,Level 1,1807.0,1003.8,2137.0,0.5977505788951373,0.42465521617734153,0.570932407160032
ME,Montenegro,Pumped hydro power,Level 2,0.0,0.0,0.0,0.0,0.0,0.0
ME,Montenegro,Wind,Level 1,0.0,95.0,162.0,0.0,0.040189525340553346,0.04328079080951109
ME,Montenegro,Solar,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
ME,Montenegro,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
ME,Montenegro,Other,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
MK,North Macedonia,Conventional thermal,Level 1,3281.378,4005.609,3309.1140000000005,0.6209729170802383,0.7663501927063354,0.6359111991845858
MK,North Macedonia,Nuclear,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
MK,North Macedonia,Hydro,Level 1,1869.694,1087.024,1774.496,0.3538237098034481,0.20796863894514206,0.3410042323438391
MK,North Macedonia,Pumped hydro power,Level 2,0.0,0.0,0.0,0.0,0.0,0.0
MK,North Macedonia,Wind,Level 1,109.482,110.48,97.338,0.0207185386468059,0.021136953030162442,0.018705407038327845
MK,North Macedonia,Solar,Level 1,23.699,23.752,22.787999999999997,0.004484834469507801,0.004544215318360049,0.0043791614332471885
MK,North Macedonia,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
MK,North Macedonia,Other,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
AL,Albania,Conventional thermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
AL,Albania,Nuclear,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
AL,Albania,Hydro,Level 1,7136.0,4496.607,8596.537,1.0,0.9997332033144153,1.0
AL,Albania,Pumped hydro power,Level 2,0.0,0.0,0.0,0.0,0.0,0.0
AL,Albania,Wind,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
