country,country_name,type,year,value,ratio,conventional_thermal,renewable_rate
GE,Georgia,Hydro,A,9221,0.811350638,0.187857457,0.812142543
GE,Georgia,Pumped hydro power,A,0,0,0.187857457,0.812142543
GE,Georgia,Wind,A,9,0.000791905,0.187857457,0.812142543
GE,Georgia,Solar,A,0,0,0.187857457,0.812142543
GE,Georgia,Geothermal,A,0,0,0.187857457,0.812142543
GE,Georgia,Other,A,0,0,0.187857457,0.812142543
BE,Belgium,Conventional thermal,B,31316,0.372624542,0.372624542,0.144051108
BE,Belgium,Nuclear,B,40128.5,0.477483202,0.372624542,0.144051108
BE,Belgium,Hydro,B,1360.9,0.016193152,0.372624542,0.144051108
BE,Belgium,Pumped hydro power,B,1093.2,0.013007828,0.372624542,0.144051108
BE,Belgium,Wind,B,6387.9,0.076008696,0.372624542,0.144051108
BE,Belgium,Solar,B,3264.3,0.038841432,0.372624542,0.144051108
BE,Belgium,Geothermal,B,0,0,0.372624542,0.144051108
BE,Belgium,Other,B,490.9,0.005841148,0.372624542,0.144051108
BG,Bulgaria,Conventional thermal,B,20234.209,0.482283429,0.482283429,0.16609592
BG,Bulgaria,Nuclear,B,14718.368,0.350813071,0.482283429,0.16609592
BG,Bulgaria,Hydro,B,3458.015,0.082421968,0.482283429,0.16609592
BG,Bulgaria,Pumped hydro power,B,603.713,0.014389531,0.482283429,0.16609592
BG,Bulgaria,Wind,B,1504.063,0.03584942,0.482283429,0.16609592
BG,Bulgaria,Solar,B,1402.766,0.033435001,0.482283429,0.16609592
BG,Bulgaria,Geothermal,B,0,0,0.482283429,0.16609592
BG,Bulgaria,Other,B,33.882,0.000807579,0.482283429,0.16609592
CZ,Czechia,Conventional thermal,B,47246.628,0.582994751,0.582994751,0.085309041
CZ,Czechia,Nuclear,B,26785.6,0.330518068,0.582994751,0.085309041
CZ,Czechia,Hydro,B,3007.403,0.03710953,0.582994751,0.085309041
CZ,Czechia,Pumped hydro power,B,1155.492,0.014258071,0.582994751,0.085309041
CZ,Czechia,Wind,B,581.917,0.007180503,0.582994751,0.085309041
CZ,Czechia,Solar,B,2168.74,0.026760937,0.582994751,0.085309041
CZ,Czechia,Geothermal,B,0,0,0.582994751,0.085309041
CZ,Czechia,Other,B,95.478,0.001178141,0.582994751,0.085309041
DK,Denmark,Conventional thermal,B,14104.326,0.475634898,0.475634898,0.524365102
DK,Denmark,Nuclear,B,0,0,0.475634898,0.524365102
DK,Denmark,Hydro,B,17.871,0.000602657,0.475634898,0.524365102
